Station|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble Grands Boulevards|Grenoble Grands Boulevards|Grenoble Grands Boulevards
juin-05|18|1|83|-|21|2|74|-|1,2|-|-|-|-|-|-|55|-|40|-|-|8,4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|21|1|-|-|-|-|-|1|-|-|77|-|-|-|-|-|-|-|-|-|-
juil-05|16|2|76|-|20|2|66|-|1,2|-|-|-|-|-|-|52|-|42|-|-|8,9|-|-|-|-|-|-|-|-|-|-|-|-|-|-|17|1|-|-|-|-|-|1|-|-|70|-|-|-|-|-|-|-|-|-|-
août-05|16|2|56|-|21|2|49|-|1|-|-|-|-|-|-|48|-|41|-|-|11|-|-|-|-|-|-|-|-|-|-|-|-|-|-|19|0|-|-|-|-|-|2|-|-|53|-|-|-|-|-|-|-|-|-|-
sept-05|22|6|42|-|29|10|33|-|1,5|-|-|-|-|-|-|59|-|62|-|-|17,8|-|-|-|-|-|-|-|-|-|-|-|-|-|-|25|1|-|-|-|-|-|6|-|-|36|-|-|-|-|-|-|-|-|-|-
oct-05|28|13|20|-|32|24|15|-|1,9|-|-|-|-|-|-|56|-|82|-|-|22,8|-|-|-|-|-|-|-|-|-|-|-|-|-|-|28|3|-|-|-|-|-|17|-|-|18|-|-|-|-|-|-|-|-|-|-
nov-05|35|24|14|-|39|43|11|-|2,4|-|-|-|-|-|-|57|-|92|-|-|19,5|-|-|-|-|-|-|-|-|-|-|-|-|-|-|37|4|-|-|-|-|-|27|-|-|12|-|-|-|-|-|-|-|-|-|-
déc-05|40|21|13|-|44|32|11|-|2,6|-|-|-|-|-|-|60|-|89|-|-|15,1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|40|11|-|-|-|-|-|23|-|-|12|-|-|-|-|-|-|-|-|-|-
janv-06|50|32|11|-|56|59|9|-|3,5|-|-|-|-|-|-|73|-|108|-|-|41,1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|52|13|-|-|-|-|-|42|-|-|9|-|-|-|-|-|-|-|-|-|-
févr-06|42|16|25|-|47|29|20|-|2,6|-|-|-|-|-|-|68|-|86|-|-|19,2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|43|7|-|-|-|-|-|18|-|-|22|-|-|-|-|-|-|-|-|-|-
mars-06|33|7|48|-|41|12|41|-|-|-|-|-|-|-|-|67|-|66|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|34|5|-|-|-|-|-|8|-|-|43|-|-|-|-|-|-|-|-|-|-
